epoch,loss,val_iou,best_iou,elapsed_sec
1,0.8481,0.4359,0.4359,220.4
2,0.6395,0.4762,0.4762,418.8
3,0.5849,0.4993,0.4993,617.7
4,0.5521,0.5128,0.5128,815.6
5,0.5395,0.5278,0.5278,1016.5
6,0.5366,0.5342,0.5342,1218.6
7,0.5284,0.5267,0.5342,1418.1
8,0.5223,0.5371,0.5371,1619.5
9,0.5243,0.5354,0.5371,1826.3
10,0.5016,0.4679,0.5371,2032.5
11,0.5360,0.5432,0.5432,2235.7
12,0.4945,0.5474,0.5474,2438.5
13,0.5039,0.5508,0.5508,2642.4
14,0.4788,0.5654,0.5654,2852.8
15,0.4692,0.5497,0.5654,3055.0
16,0.4706,0.5595,0.5654,3255.2
17,0.4929,0.5402,0.5654,3451.6
18,0.4629,0.5689,0.5689,3660.1
19,0.4453,0.5720,0.5720,3867.0
20,0.4641,0.5650,0.5720,4066.6
21,0.4413,0.5595,0.5720,4266.1
22,0.4382,0.5715,0.5720,4466.4
23,0.4288,0.5849,0.5849,4669.2
24,0.4305,0.5915,0.5915,4867.0
25,0.4156,0.5910,0.5915,5067.7
26,0.4296,0.5947,0.5947,5271.0
27,0.4208,0.6022,0.6022,5478.9
28,0.4064,0.6000,0.6022,5686.0
29,0.4079,0.6063,0.6063,5885.4
30,0.3967,0.6072,0.6072,6084.8
31,0.4075,0.6090,0.6090,6281.6
32,0.3943,0.6100,0.6100,6489.5
33,0.3923,0.6094,0.6100,6690.0
34,0.3878,0.6127,0.6127,6890.5
35,0.3881,0.6159,0.6159,7088.4
36,0.3828,0.6171,0.6171,7291.0
37,0.3815,0.6184,0.6184,7494.2
38,0.3774,0.6167,0.6184,7691.0
39,0.3780,0.6119,0.6184,7918.6
40,0.3756,0.6200,0.6200,8161.6
41,0.3828,0.5991,0.6200,8372.1
42,0.3784,0.6155,0.6200,8571.2
43,0.3704,0.6240,0.6240,8767.1
44,0.3649,0.6225,0.6240,8974.3
45,0.3657,0.6243,0.6243,9179.7
46,0.3660,0.6263,0.6263,9389.5
47,0.3634,0.6263,0.6263,9589.0
48,0.3620,0.6270,0.6270,9791.7
49,0.3608,0.6274,0.6274,10010.3
50,0.3597,0.6267,0.6274,10264.0
51,0.3592,0.6300,0.6300,10511.5
52,0.3572,0.6275,0.6300,10713.4
53,0.3581,0.6294,0.6300,10988.1
54,0.3560,0.6296,0.6300,11267.1
55,0.3565,0.6310,0.6310,11552.7
56,0.3573,0.6292,0.6310,11852.6
57,0.3585,0.6297,0.6310,12119.4
58,0.3559,0.6300,0.6310,12322.1
59,0.3553,0.6309,0.6310,12580.4
60,0.3548,0.6305,0.6310,12865.2
